trade
war
trade_war
china
trump
twitter
tariffs
pic
pic_twitter
tradewar
www
fears
war_china
äôs
news
war_fears
2018
china_trade
trump_trade
stocks
status
tt
ift
ift_tt
steel
markets
world
market
ly
global
dow
dlvr
realdonaldtrump
president
03
start
win
economy
new
started
one
business
äôt
good
going
tariff
back
04
2018_03
stock
st
eu
wall
america
äù
points
american
fb
tax
gl
trump_äôs
goo
goo_gl
people
starting
usa
start_trade
donald
think
2018_04
street
started_trade
äô
chinese
time
hurt
wall_street
know
war_www
country
want
global_trade
farmers
amid
donald_trump
war_trump
reuters
lose
aluminum
billion
goods
stock_market
jobs
money
hit
cnn
house
steel_aluminum
white
white_house
