2018-04-06,25118,2604.469971,23932.75977,6915.109863,2018-04-16,2334,3110.648926
2018-04-09,9861,2613.159912,23979.09961,6950.339844,2018-04-17,2367,3066.797119
2018-04-10,8629,2656.870117,24408,7094.299805,2018-04-18,2337,3091.398926
2018-04-11,4625,2642.189941,24189.44922,7069.029785,2018-04-19,2616,3117.375977
2018-04-12,4861,2663.98999,24483.05078,7140.25,2018-04-20,2161,3071.542969
2018-04-13,4434,2656.300049,24360.14063,7106.649902,2018-04-23,2023,3068.011963
2018-04-16,2334,2677.840088,24573.03906,7156.279785,2018-04-24,4023,3128.927002
2018-04-17,2367,2706.389893,24786.63086,7281.100098,2018-04-25,4027,3117.974121
2018-04-18,2337,2708.639893,24748.07031,7295.240234,2018-04-26,2829,3075.030029
2018-04-19,2616,2693.129883,24664.89063,7238.060059,,,
2018-04-20,2161,2670.139893,24462.93945,7146.129883,,,
2018-04-23,2023,2670.290039,24448.68945,7128.600098,,,
2018-04-24,4023,2634.560059,24024.13086,7007.350098,,,
2018-04-25,4027,2639.399902,24083.83008,7003.740234,,,
2018-04-26,2829,2666.939941,24322.33984,7118.680176,,,
