DATE,CLOSE
2/3/18 23:00,105.7515
3/3/18 23:00,105.7515
4/3/18 23:00,105.5545
5/3/18 23:00,106.2495
6/3/18 23:00,105.563
7/3/18 23:00,106.174
8/3/18 23:00,106.4155
9/3/18 23:00,106.815
10/3/18 23:00,106.815
11/3/18 23:00,106.898
12/3/18 23:00,106.277
13/3/18 23:00,106.516
14/3/18 23:00,106.169
15/3/18 23:00,106.312
16/3/18 23:00,105.6675
17/3/18 23:00,105.6675
18/3/18 23:00,105.964
19/3/18 23:00,106.014
20/3/18 23:00,106.4745
21/3/18 23:00,105.9415
22/3/18 23:00,104.9695
23/3/18 23:00,104.1825
24/3/18 23:00,104.1825
25/3/18 23:00,104.8475
26/3/18 23:00,105.535
27/3/18 23:00,105.485
28/3/18 23:00,106.2575
29/3/18 23:00,106.4805
30/3/18 23:00,106.275
31/3/18 23:00,106.275
1/4/18 23:00,106.275
2/4/18 23:00,105.7975
3/4/18 23:00,106.4385
4/4/18 23:00,106.7975
5/4/18 23:00,107.1115
6/4/18 23:00,106.93
7/4/18 23:00,106.93
8/4/18 23:00,106.9595
9/4/18 23:00,106.7575
10/4/18 23:00,107.1315
11/4/18 23:00,106.835
12/4/18 23:00,107.236
13/4/18 23:00,107.345
14/4/18 23:00,107.345
15/4/18 23:00,107.524
16/4/18 23:00,107.046
17/4/18 23:00,107.0235
18/4/18 23:00,107.351
19/4/18 23:00,107.444
20/4/18 23:00,107.685
21/4/18 23:00,107.685
22/4/18 23:00,107.8725
23/4/18 23:00,108.769
24/4/18 23:00,108.799
25/4/18 23:00,109.3765
26/4/18 23:00,109.305
27/4/18 23:00,109.015
28/4/18 23:00,109.015
29/4/18 23:00,109.015
30/4/18 23:00,109.3145
1/5/18 23:00,109.8745
2/5/18 23:00,109.8405
3/5/18 23:00,109.1065
4/5/18 23:00,108.695
5/5/18 23:00,109.115
6/5/18 23:00,109.1385
7/5/18 23:00,108.9455
8/5/18 23:00,109.0255
9/5/18 23:00,109.847
10/5/18 23:00,109.453
11/5/18 23:00,109.405
