DATE,CLOSE,HIGH,LOW,OPEN,VOLUME
2/3/18 2:00,7.54,7.57,7.43,7.48,755900
2/3/18 3:00,7.46,7.55,7.46,7.54,772300
2/3/18 4:00,7.49,7.51,7.47,7.47,1035400
2/3/18 6:00,7.46,7.49,7.45,7.48,1644600
2/3/18 7:00,7.47,7.49,7.45,7.45,454500
5/3/18 2:00,7.46,7.5,7.44,7.47,255000
5/3/18 3:00,7.45,7.47,7.43,7.46,615500
5/3/18 4:00,7.45,7.46,7.45,7.45,149300
5/3/18 6:00,7.46,7.47,7.44,7.45,289047
5/3/18 7:00,7.48,7.48,7.44,7.45,391440
6/3/18 2:00,7.51,7.52,7.46,7.48,442540
6/3/18 3:00,7.49,7.55,7.48,7.5,660600
6/3/18 4:00,7.51,7.51,7.47,7.49,275200
6/3/18 6:00,7.5,7.54,7.48,7.53,554047
6/3/18 7:00,7.53,7.53,7.48,7.5,617453
7/3/18 2:00,7.54,7.56,7.52,7.53,340438
7/3/18 3:00,7.53,7.54,7.5,7.54,514870
7/3/18 4:00,7.49,7.53,7.48,7.53,173792
7/3/18 6:00,7.46,7.49,7.43,7.49,844300
7/3/18 7:00,7.39,7.47,7.38,7.47,1702356
8/3/18 2:00,7.41,7.42,7.35,7.35,905800
8/3/18 3:00,7.42,7.43,7.38,7.41,596446
8/3/18 4:00,7.4,7.43,7.4,7.42,444200
8/3/18 6:00,7.4,7.42,7.39,7.4,1141700
8/3/18 7:00,7.43,7.44,7.38,7.4,652500
9/3/18 2:00,7.49,7.5,7.43,7.45,784300
9/3/18 3:00,7.53,7.55,7.46,7.49,1727740
9/3/18 4:00,7.61,7.61,7.52,7.53,715800
9/3/18 6:00,7.67,7.68,7.58,7.62,2825356
9/3/18 7:00,7.63,7.68,7.61,7.66,1122500
12/3/18 2:00,7.79,7.8,7.62,7.65,1582800
12/3/18 3:00,7.93,8.07,7.8,7.8,3828600
12/3/18 4:00,7.93,7.97,7.91,7.93,637347
12/3/18 6:00,7.84,7.93,7.83,7.92,1459653
12/3/18 7:00,7.83,7.87,7.81,7.85,1077246
13/3/18 2:00,7.77,7.85,7.77,7.81,1027200
13/3/18 3:00,7.76,7.81,7.72,7.77,1300211
13/3/18 4:00,7.76,7.77,7.73,7.76,419597
13/3/18 5:00,7.76,7.76,7.76,7.76,6000
13/3/18 6:00,7.76,7.78,7.75,7.76,2496500
13/3/18 7:00,7.71,7.77,7.7,7.77,3025000
14/3/18 2:00,7.71,7.75,7.63,7.63,606300
14/3/18 3:00,7.74,7.78,7.7,7.7,1208702
14/3/18 4:00,7.71,7.74,7.7,7.72,246500
14/3/18 6:00,7.72,7.74,7.7,7.71,662500
14/3/18 7:00,7.64,7.73,7.63,7.73,1047898
15/3/18 2:00,7.64,7.69,7.54,7.69,727200
15/3/18 3:00,7.61,7.69,7.56,7.65,644900
15/3/18 4:00,7.56,7.62,7.56,7.6,251200
15/3/18 6:00,7.45,7.56,7.44,7.56,1651700
15/3/18 7:00,7.64,7.64,7.43,7.45,2311537
16/3/18 2:00,7.59,7.63,7.51,7.58,609604
16/3/18 3:00,7.61,7.62,7.57,7.61,757600
16/3/18 4:00,7.6,7.65,7.6,7.61,480000
16/3/18 6:00,7.66,7.69,7.6,7.6,2873700
16/3/18 7:00,7.53,7.67,7.51,7.66,4531300
19/3/18 2:00,7.54,7.58,7.48,7.55,428400
19/3/18 3:00,7.54,7.57,7.51,7.54,586202
19/3/18 4:00,7.57,7.58,7.53,7.54,484400
19/3/18 6:00,7.51,7.58,7.51,7.56,1221700
19/3/18 7:00,7.44,7.52,7.43,7.51,1343516
20/3/18 2:00,7.4,7.45,7.38,7.4,385800
20/3/18 3:00,7.27,7.42,7.23,7.41,1564702
20/3/18 4:00,7.31,7.31,7.27,7.27,266704
20/3/18 6:00,7.38,7.41,7.28,7.31,1377500
20/3/18 7:00,7.55,7.6,7.35,7.4,2563366
21/3/18 2:00,7.51,7.53,7.47,7.49,610804
21/3/18 3:00,7.51,7.52,7.43,7.5,1734502
21/3/18 4:00,7.51,7.53,7.48,7.52,1892300
21/3/18 6:00,7.52,7.55,7.51,7.52,3255864
21/3/18 7:00,7.39,7.54,7.37,7.52,3020100
22/3/18 2:00,7.48,7.5,7.37,7.39,869000
22/3/18 3:00,7.47,7.6,7.41,7.48,1644002
22/3/18 4:00,7.5,7.5,7.44,7.47,301900
